,rn,iteration
615,"('R00776', 'forward')",1
616,"('R00088', 'forward')",1
617,"('R02089', 'reverse')",1
618,"('R01057', 'reverse')",1
619,"('R05142', 'forward')",1
620,"('R00471', 'forward')",1
621,"('R07264', 'reverse')",1
622,"('R04143', 'reverse')",1
623,"('R07674', 'reverse')",1
624,"('R09085', 'reverse')",1
625,"('R00503', 'forward')",1
626,"('R02189', 'forward')",1
627,"('R08946', 'reverse')",1
628,"('R01288', 'forward')",1
629,"('R05140', 'reverse')",1
630,"('R09483', 'reverse')",1
631,"('R06789', 'forward')",1
632,"('R00518', 'reverse')",1
633,"('R00750', 'forward')",1
634,"('R04482', 'forward')",1
635,"('R00748', 'forward')",1
636,"('R00327', 'reverse')",1
637,"('R01067', 'forward')",1
638,"('R02335', 'reverse')",1
639,"('R01540', 'reverse')",1
640,"('R00424', 'reverse')",1
641,"('R02059', 'forward')",1
642,"('R07395', 'forward')",1
643,"('R01827', 'forward')",1
644,"('R00654', 'forward')",1
645,"('R02719', 'forward')",1
646,"('R01016', 'reverse')",1
647,"('R01055', 'forward')",1
648,"('R01863', 'forward')",1
649,"('R01466', 'reverse')",1
650,"('R00649', 'forward')",1
651,"('R02922', 'forward')",1
652,"('R03052', 'forward')",1
653,"('R01782', 'forward')",1
654,"('R00517', 'reverse')",1
655,"('R00318', 'reverse')",1
656,"('R04639', 'forward')",1
657,"('R02739', 'reverse')",1
658,"('R01139', 'reverse')",1
659,"('R02575', 'reverse')",1
660,"('R01244', 'reverse')",1
661,"('R00485', 'reverse')",1
662,"('R01737', 'reverse')",1
663,"('R08947', 'reverse')",1
664,"('R00769', 'reverse')",1
665,"('R02865', 'forward')",1
666,"('R01402', 'forward')",1
667,"('R00511', 'reverse')",1
668,"('R01010', 'reverse')",1
669,"('R01229', 'forward')",1
670,"('R03032', 'forward')",1
671,"('R00190', 'forward')",1
672,"('R01634', 'reverse')",1
673,"('R01898', 'reverse')",1
674,"('R01663', 'forward')",1
675,"('R10463', 'forward')",1
676,"('R00657', 'reverse')",1
677,"('R00226', 'reverse')",1
678,"('R01902', 'forward')",1
679,"('R08648', 'reverse')",1
680,"('R05646', 'reverse')",1
681,"('R00180', 'reverse')",1
682,"('R01748', 'reverse')",1
683,"('R09081', 'forward')",1
684,"('R00414', 'reverse')",1
685,"('R01483', 'forward')",1
686,"('R02102', 'reverse')",1
687,"('R02370', 'forward')",1
688,"('R03275', 'reverse')",1
689,"('R01620', 'forward')",1
690,"('R00444', 'reverse')",1
691,"('R00766', 'forward')",1
692,"('R10205', 'reverse')",1
693,"('R01205', 'reverse')",1
694,"('R01519', 'reverse')",1
