ECNumber	PfamDomain	ConfidenceScore	Type	InInterPro
1.20.4.1	PF03960	0.8725167778	GOLD	No
1.3.5.2	PF01180	0.8718943889	GOLD	No
3.1.4.11	PF09279	0.8716575556	GOLD	Yes
2.3.1.16	PF02803	0.8697680556	GOLD	No
4.1.2.4	PF01791	0.8681274444	GOLD	No
5.3.1.8	PF01238	0.8678802778	GOLD	Yes
2.7.7.41	PF09139	0.8662632222	GOLD	Yes
2.3.3.16	PF00285	0.8650743333	GOLD	No
1.1.1.94	PF01210	0.8641420556	GOLD	Yes
2.3.1.16	PF00108	0.8638753333	GOLD	No
2.6.1.42	PF01063	0.8637557222	GOLD	No
6.1.1.17	PF00749	0.8636935	GOLD	No
2.2.1.1	PF00456	0.8636188889	GOLD	No
3.2.1.3	PF00723	0.8634842222	GOLD	No
2.4.1.25	PF02446	0.8627444444	GOLD	Yes
1.6.99.1	PF00724	0.8610973333	GOLD	No
2.7.11.30	PF01064	0.8601630556	GOLD	Yes
1.1.1.22	PF03720	0.8569752222	GOLD	No
2.4.1.250	PF13579	0.8562001667	GOLD	No
3.6.3.29	PF03459	0.8560282222	GOLD	No
1.7.99.1	PF03063	0.8557567222	GOLD	Yes
2.4.1.222	PF02434	0.8537740556	GOLD	No
1.8.1.8	PF02683	0.8521380556	GOLD	Yes
6.1.1.18	PF03950	0.8495389444	GOLD	No
6.5.1.3	PF01139	0.8491521111	GOLD	No
5.99.1.2	PF01131	0.8482988889	GOLD	Yes
2.7.1.30	PF00370	0.8476555556	GOLD	No
4.2.1.2	PF10415	0.8474283889	GOLD	Yes
3.1.3.11	PF00316	0.8466614444	GOLD	Yes
6.4.1.1	PF02436	0.8464717222	GOLD	No
2.1.1.245	PF03599	0.845627	GOLD	No
6.5.1.2	PF03119	0.8454571111	GOLD	Yes
2.4.1.18	PF02806	0.8442427778	GOLD	Yes
