,ec,cofactor,rn
460,1.17.3.2,fes_2Fe_2S,R07978
461,1.17.3.2,fes_2Fe_2S,R07979
462,1.17.3.2,fes_2Fe_2S,R08235
463,1.17.3.2,fe,R00069
464,1.17.3.2,fe,R01768
465,1.17.3.2,fe,R01769
466,1.17.3.2,fe,R02103
467,1.17.3.2,fe,R02107
468,1.17.3.2,fe,R07942
469,1.17.3.2,fe,R07977
470,1.17.3.2,fe,R07978
471,1.17.3.2,fe,R07979
472,1.17.3.2,fe,R08235
473,1.17.3.3,fes_2Fe_2S,R07221
474,1.17.3.3,fe,R07221
475,1.17.3.3,fes,R07221
476,1.17.4.1,fe,R02017
477,1.17.4.1,fe,R02018
478,1.17.4.1,fe,R02019
479,1.17.4.1,fe,R02024
480,1.17.4.1,fe,R04294
481,1.17.4.1,fe,R08363
482,1.17.4.1,fe,R08364
483,1.17.5.1,fe,R07222
484,1.17.5.1,fe,R07294
485,1.17.7.1,fes_4Fe_4S,R08689
486,1.17.7.1,fes_4Fe_4S,R10859
487,1.17.7.1,fe,R08689
488,1.17.7.1,fe,R10859
489,1.17.7.1,fes,R08689
490,1.17.7.1,fes,R10859
491,1.17.7.2,fe,R09071
492,1.17.7.2,fes,R09071
493,1.17.7.3,fes_4Fe_4S,R08689
494,1.17.7.3,fes_4Fe_4S,R10859
495,1.17.7.3,fe,R08689
496,1.17.7.3,fe,R10859
497,1.17.7.3,fes,R08689
498,1.17.7.3,fes,R10859
499,1.17.99.2,fes_4Fe_4S,R05745
500,1.18.1.1,fe,R02000
501,1.18.1.2,fes_2Fe_2S,R01195
502,1.18.1.2,fes_2Fe_2S,R10159
503,1.18.1.2,fes_4Fe_4S,R01195
504,1.18.1.2,fes_4Fe_4S,R10159
505,1.18.1.3,fes_2Fe_2S,R02000
506,1.18.1.3,fes_2Fe_2S,R02550
507,1.18.1.3,fes_2Fe_2S,R03543
508,1.18.1.3,fes_2Fe_2S,R03559
509,1.18.1.3,fes_2Fe_2S,R03562
510,1.18.1.3,fes_2Fe_2S,R05247
511,1.18.1.3,fes_2Fe_2S,R05261
512,1.18.1.3,fes_2Fe_2S,R05262
