rxns,metal
R03817,fes_2Fe_2S
R03818,fes_2Fe_2S
R03871,fes_2Fe_2S
R04085,fes_2Fe_2S
R04366,fes_2Fe_2S
R04698,fes_2Fe_2S
R04904,fes_2Fe_2S
R05148,fes_2Fe_2S
R05247,fes_2Fe_2S
R05261,fes_2Fe_2S
R05262,fes_2Fe_2S
R05263,fes_2Fe_2S
R05264,fes_2Fe_2S
R05266,fes_2Fe_2S
R05288,fes_2Fe_2S
R05414,fes_2Fe_2S
R05422,fes_2Fe_2S
R05423,fes_2Fe_2S
R05424,fes_2Fe_2S
R05425,fes_2Fe_2S
R05426,fes_2Fe_2S
R05427,fes_2Fe_2S
R05442,fes_2Fe_2S
