ec,cofactor
2.5.1.72,fes
2.5.1.76,plp
2.5.1.77,fes_4Fe_4S
2.5.1.82,mg
2.5.1.93,mg
2.5.1.96,mn
2.5.1.97,co
2.5.1.97,mn
2.5.1.99,mn
2.5.1.101,mn
2.5.1.108,fes_4Fe_4S
2.5.1.113,plp
2.5.1.115,mg
2.5.1.116,mg
2.5.1.117,mg
2.6.1.1,plp
2.6.1.2,plp
2.6.1.3,plp
2.6.1.4,plp
2.6.1.5,plp
2.6.1.6,plp
2.6.1.7,plp
2.6.1.8,plp
2.6.1.9,plp
2.6.1.11,plp
2.6.1.12,plp
2.6.1.13,plp
2.6.1.14,plp
2.6.1.15,plp
2.6.1.17,plp
2.6.1.18,plp
2.6.1.21,plp
2.6.1.24,plp
2.6.1.26,plp
2.6.1.27,plp
2.6.1.33,plp
2.6.1.34,plp
2.6.1.35,plp
2.6.1.36,plp
2.6.1.37,plp
2.6.1.39,plp
2.6.1.43,plp
2.6.1.44,plp
2.6.1.45,plp
2.6.1.46,plp
2.6.1.47,plp
2.6.1.48,plp
2.6.1.49,plp
2.6.1.50,plp
2.6.1.51,plp
2.6.1.52,plp
2.6.1.55,plp
2.6.1.57,plp
2.6.1.59,plp
2.6.1.64,plp
2.6.1.65,plp
2.6.1.67,plp
2.6.1.72,plp
2.6.1.76,plp
2.6.1.78,plp
