376 1.14.11.-|1.14.11.27|1.14.11.65|1.14.11.67|1.8.1.8|2.1.1.-|2.1.1.354|2.1.1.357|2.1.1.37|2.1.1.43|2.3.1.48|2.3.2.-|2.3.2.26|2.3.2.27|2.3.2.31|2.3.2.32|2.3.2.33|2.4.1.12|2.7.1.107|2.7.10.2|2.7.11.1|2.7.11.13|3.1.-.-|3.4.19.12|3.5.1.98|3.6.-.-|3.6.4.-|3.6.4.10|3.6.4.12|5.2.1.8|6.3.2.19|6.3.2.n3
11_235_5001 3.2.1.17
11_7501 1.5.1.3
393 3.4.21.22|3.4.21.6|3.4.21.69
391 3.4.21.68
390 3.4.21.27
397 3.2.2.22
396 2.3.2.27|2.7.7.49|2.7.7.7|3.1.13.2|3.1.26.13|3.1.26.4|3.4.23.16|3.4.23.47|3.6.4.-
2004_304_4271_8001 3.6.4.-
2484_3948 2.3.2.27
398 2.7.10.2
284_589 5.2.1.8
2004_7522_7574 1.2.7.11
12_243 1.4.3.-|1.4.3.21|1.4.3.22
2004_3615 3.6.5.-|3.6.5.5
2007_247 1.-.-.-|1.13.11.18|2.8.1.1
3156_5038_5040 7.1.1.9
10_11_2002 3.2.1.-|3.2.1.165|3.2.1.23|3.2.1.25|3.2.1.31|3.2.1.96
3748 3.4.19.12
187_4044_7586 1.2.7.4
2008_3517 3.1.-.-
101_102_1029_11_2004_4156_592 3.6.4.13
3740 1.17.7.2
244 2.-.-.-
247 1.-.-.-|1.13.11.18|3.-.-.-|3.1.-.-|3.1.1.-|3.1.1.27|3.1.1.81|3.1.2.32|3.1.2.6|3.1.26.11|3.1.4.17|3.1.4.38|3.1.4.54|3.1.4.55|3.1.8.1|3.5.2.6
246 2.7.7.49|3.-.-.-|3.1.-.-|3.1.11.2|3.1.13.4|3.1.21.1|3.1.26.12|3.1.3.-|3.1.3.16|3.1.3.2|3.1.3.3|3.1.3.36|3.1.3.48|3.1.3.5|3.1.3.53|3.1.3.56|3.1.3.6|3.1.3.60|3.1.3.86|3.1.4.-|3.1.4.12|3.1.4.16|3.1.4.3|3.1.4.53|3.5.1.-|3.5.1.128|3.5.1.3|3.5.1.4|3.5.1.49|3.5.1.53|3.5.1.6|3.5.1.77|3.5.5.1|3.5.5.4|3.6.1.13|3.6.1.16|3.6.1.41|3.6.1.53|3.6.1.54|4.2.1.65|4.2.99.18
241 1.16.3.1|2.3.2.-|2.7.7.48|3.1.21.-|3.4.19.12|3.4.22.69|3.6.4.13
7507_7546 3.5.1.1|3.5.1.38
