rn,delta_G,delta_G_error
AR1007,-3.76,0.25972
AR1008,-6.22,0.236801
AR1009,-6.22,0.09715549999999999
AR1010,-5.22,0.136026
AR1011,-5.22,0.103227
AR1012,-7.68,0.061730099999999996
AR1013,-3.76,0.10558699999999999
AR1014,-5.22,0.10013999999999999
AR1015,-2.3,0.220561
AR1016,-6.22,0.11084000000000001
AR1017,-3.67,0.0945679
AR1018,-3.67,0.0945679
AR1019,-3.76,0.09092810000000001
AR1020,-2.21,0.0995635
AR1021,-2.3,0.182917
AR1024,-3.76,0.265212
AR1025,-2.3,0.29279099999999997
AR1027,-2.3,0.09022999999999999
AR1028,-5.22,0.09305319999999999
AR1029,-0.75,0.0958215
AR1030,-5.22,0.0209462
AR1031,-5.22,0.13688599999999998
AR1032,-2.3,0.137197
AR1033,-2.3,0.17720999999999998
AR1034,-5.22,0.129772
AR1035,-2.3,0.252433
AR1036,2.0,0.357636
AR1037,-2.3,0.252433
AR1038,-2.3,0.16892100000000002
AR1039,-5.22,0.0851782
AR1040,-2.3,0.247685
AR1041,-2.3,0.24531399999999998
AR1042,2.0,0.353179
AR1043,-5.22,0.15246600000000002
AR1044,-3.76,0.144282
AR1045,-7.68,0.057638
AR1046,-5.22,0.0922634
AR1047,-3.76,0.177174
AR1048,-5.22,0.184585
AR1049,-6.22,0.0494539
AR1050,2.0,0.348128
AR1051,-6.44,0.08918739999999999
AR1052,-2.3,0.305607
AR1053,2.0,0.328543
AR1054,-6.22,0.048929
AR1055,-7.68,0.00903525
AR1056,2.0,0.343566
AR1057,2.0,0.623901
AR1058,-2.3,0.266333
AR1059,-6.22,0.041002
AR1060,-3.76,0.147018
AR1061,-5.22,0.10480899999999999
AR1062,-2.3,0.160211
AR1063,2.0,0.35465100000000005
AR1064,-6.22,0.0465746
AR1065,-4.76,0.221009
AR1066,-5.22,0.125746
AR1067,-3.76,0.135594
AR1068,-5.22,0.15746400000000002
AR1069,-5.22,0.09909639999999999
AR1071,-6.22,0.0450619
AR1072,-6.22,0.024472
AR1073,-5.78,0.08918739999999999
AR1074,-3.67,0.0777888
AR1075,-2.3,0.0955478
AR1076,-2.3,0.216879
AR1077,-0.75,0.118236
AR1078,-6.22,0.217574
AR1079,-3.76,0.225309
AR1080,2.0,0.354682
AR1081,-5.22,0.118915
AR1082,-6.22,0.094434
AR1083,-2.3,0.07574410000000001
AR1084,-2.3,0.07514
AR1085,-6.22,0.150515
AR1086,-3.67,0.051578
AR1087,-3.76,0.155024
AR1088,-5.22,0.136139
AR1089,-2.21,0.0826711
AR1090,-3.67,0.0781255
AR1091,-8.68,0.0871191
AR1093,-3.67,0.0850539
AR1094,-2.3,0.195731
AR1095,-2.3,0.195731
AR1096,-2.21,0.0932962
AR1098,-3.76,0.255108
AR1099,-3.76,0.255108
AR1100,-5.22,0.169164
AR1102,-3.76,0.060561699999999996
AR1103,-2.3,0.111792
AR1104,-2.3,0.111792
AR1105,-2.21,0.0826711
AR1107,-2.3,0.0796952
AR1108,-5.22,0.16356700000000002
AR1109,-5.22,0.17181
AR1110,-3.76,0.119629
AR1111,-3.67,0.0464274
AR1112,-2.3,0.0801993
AR1113,-5.22,0.09435299999999999
AR1114,-5.22,0.0900215
AR1115,-4.76,0.06100269999999999
AR1116,-5.22,0.11552899999999999
AR1117,-2.3,0.131183
